County,Fed. Lean,State Lean,16,20,24,17,21,boosts,21votes,pct,Lean,preprocessed,prediction,swingunformatted,Forecast,Swing
Clarke,-23.492891971462086,-23.32555076197521,-20.87655601659751,R+14.0,R+17.1,-12.758996728462376,R+25.8,3.0,7422,0.002256317963903,R+23.5,-10.804009174377493,-10.784960629985326,6.3211219940545345,R+10.8,D+6.3
Colonial Heights,-40.20133904511245,-48.13169933718014,-41.1779324055666,R+33.8,R+32.7,-45.518729162580904,R+47.9,1.0,6705,0.002038347069249,R+42.2,-31.536881623416498,-31.51783307902433,1.2063631984714398,R+31.5,D+1.2
Covington,-37.455698857602165,-31.420344802570167,-19.222271321254972,R+24.2,R+33.5,-17.98344620015049,R+34.8,0.0,1793,0.000545079238652,R+35.9,-26.299812849131293,-26.280764304739126,7.215170654610471,R+26.3,D+7.2
Craig,-70.85717963459437,-65.19314303107805,-59.64192465497948,R+62.4,R+65.1,-54.38983986747653,R+67.7,0.0,2500,0.000760010092934,R+69.4,-59.794122989002425,-59.775074444610254,5.3022451430186095,R+59.8,D+5.3
Culpeper,-31.115600701157675,-32.48125837859481,-26.482850104225886,R+20.3,R+25.2,-25.59457242973235,R+33.7,3.0,20214,0.006145137607427,R+31.5,-18.809967625804084,-18.790919081411918,6.448086654725746,R+18.8,D+6.4
Cumberland,-27.099420934352285,-25.77624485573819,-13.965772237481513,R+15.1,R+22.3,-16.698903932946486,R+27.7,1.0,4225,0.001284417057059,R+26.8,-16.121579419985892,-16.102530875593725,6.237894656321167,R+16.1,D+6.2
Danville,14.733944799433907,8.60274518831472,20.45528809497876,D+22.4,D+21.3,14.952589350838805,D+7.6,0.0,12864,0.003910707934201,D+13.2,22.848192391366986,22.867240935759153,1.6153133556574915,D+22.9,D+1.6
Dickenson,-68.072805541532,-57.58479302219774,-57.39588319770225,R+58.5,R+62.5,-43.86889083991806,R+61.1,0.0,4815,0.001463779438991,R+65.5,-55.803754916985575,-55.784706372593405,6.70638668711873,R+55.8,D+6.7
Dinwiddie,-27.97132068945762,-23.916393879290126,-12.730850741749924,R+16.6,R+23.3,-10.305666304216505,R+27.4,1.0,11582,0.003520974758545,R+27.0,-16.310541492202873,-16.291492947810706,6.992994819279865,R+16.3,D+7.0
Emporia,25.492998121128878,17.496172581363826,31.953428201811125,D+36.3,D+31.2,12.849162011173185,D+20.1,1.0,1832,0.000556935396102,D+23.5,34.14083923090049,34.15988777529266,2.953230355043008,D+34.2,D+3.0
Essex,-12.781956726850025,-13.697053987925067,-2.2119638391998464,R+0.6,R+7.8,-6.309233685350664,R+15.1,1.0,4709,0.001431555011051,R+13.0,-2.363683547405911,-2.344635003013744,5.462673967085923,R+2.3,D+5.5
Fairfax – City,30.707014531749692,31.4288208550977,38.495796959303334,D+42.8,D+36.0,37.07864565008957,D+30.6,3.0,10142,0.003083208945015,D+30.9,43.534513607299566,43.553562151691736,7.563570368705356,D+43.6,D+7.6
Fairfax – County,28.425391936994487,28.2892195064633,33.11048875237149,D+39.2,D+34.3,31.18751524018532,D+28.4,3.0,441266,0.134146645467452,D+28.4,41.03839632407456,41.05744486846673,6.741848258038452,D+41.1,D+6.7
Falls Church,56.9753039807318,55.02383470310616,62.928741425171495,D+65.5,D+63.3,60.006693440428386,D+54.4,3.0,7026,0.002135932365182,D+56.5,69.13448415603827,69.15353270043043,5.888226577981449,D+69.2,D+5.9
Fauquier,-28.142324726813644,-29.643629996816156,-26.08695652173913,R+17.7,R+21.9,-20.629576634963385,R+31.6,3.0,33992,0.010333705231606,R+28.5,-15.870603549601398,-15.851555005209232,6.06640886253307,R+15.9,D+6.1
Floyd,-43.94902841451956,-38.36991566491611,-39.417884893981295,R+34.9,R+37.6,-28.11230144070927,R+40.7,0.0,7498,0.002279422270728,R+42.6,-32.90720273240583,-32.88815418801366,4.752354268757017,R+32.9,D+4.8
Fluvanna,-12.98188293803438,-13.071658530529195,-9.894407508799375,R+4.8,R+6.3,-6.5381666849195055,R+14.2,1.0,12454,0.00378606627896,R+13.0,-2.3572793414452082,-2.3382307970530416,3.9980909863247147,R+2.3,D+4.0
Franklin – City,17.231691495245954,14.908090974578794,27.86802030456853,D+25.9,D+23.0,21.133412042502954,D+13.9,-3.0,2965,0.00090137197022,D+16.7,23.297838859792037,23.316887404184204,0.2921155658530452,D+23.3,D+0.3
Franklin – County,-51.68411075247813,-48.258567776046874,-43.80082087818478,R+42.7,R+45.7,-38.82718535995856,R+50.3,0.0,23848,0.007249888278516,R+50.8,-41.18067751365744,-41.16162896926528,4.523749620813049,R+41.2,D+4.5
Frederick,-35.89278818674271,-37.16338923609775,-37.22477969222675,R+28.0,R+28.7,-30.363462259044923,R+38.4,3.0,36375,0.01105814685219,R+36.2,-23.5633909543686,-23.544342409976434,5.195355926207679,R+23.5,D+5.2
Fredericksburg,25.961430137984543,22.879028570481665,28.351353937422257,D+35.7,D+32.3,30.736782902137232,D+21.3,3.0,9035,0.002746676475864,D+25.2,37.8378772408217,37.85692578521386,5.530641797298458,D+37.9,D+5.5
Galax,-49.933788600841936,-47.00865406070856,-40.36777583187391,R+40.6,R+44.2,-38.90963405526512,R+48.6,0.0,1926,0.000585511775596,R+49.2,-39.55545747109572,-39.53640892670356,4.665147205197144,R+39.5,D+4.7
Giles,-60.73817678046594,-55.44542376973021,-50.38167938931297,R+52.3,R+54.9,-44.353859496964446,R+58.1,0.0,7389,0.002246285830676,R+59.4,-49.767941033069135,-49.74889248867697,5.130619014975849,R+49.7,D+5.1
